1776724594.661179000,0x0010,47816,,1500,276606,1
1776724594.662534000,0x0010,7112,0.067924000,52,1,263574
1776724594.662694000,0x0010,47816,,1500,278054,1
1776724594.666888000,0x0010,7112,0.069307000,52,1,265022
1776724594.666909000,0x0010,47816,,1500,279502,1
1776724594.667553000,0x0010,7112,0.066490000,52,1,266470
1776724594.668660000,0x0010,47816,,1500,280950,1
1776724594.670433000,0x0010,7112,0.067675000,52,1,267918
1776724594.671650000,0x0010,47816,,1500,282398,1
1776724594.675653000,0x0010,7112,0.068268000,52,1,269366
1776724594.675673000,0x0010,47816,,1500,283846,1
1776724594.678740000,0x0010,7112,0.066656000,52,1,270814
1776724594.678761000,0x0010,47816,,1500,285294,1
1776724594.715040000,0x0010,7112,0.069032000,52,1,272262
1776724594.715143000,0x0010,47816,,1500,286742,1
1776724594.722825000,0x0010,7112,0.071075000,52,1,273710
1776724594.722847000,0x0010,47816,,1500,288190,1
1776724594.722906000,0x0010,7112,0.069631000,52,1,275158
1776724594.726065000,0x0010,7112,0.069498000,52,1,276606
1776724594.726136000,0x0010,47816,,1500,289638,1
1776724594.726142000,0x0018,47816,,1500,291086,1
1776724594.728521000,0x0010,7112,0.067342000,52,1,278054
1776724594.731852000,0x0010,7112,0.069158000,52,1,279502
1776724594.731878000,0x0010,47816,,1500,292534,1
1776724594.731884000,0x0018,47816,,1500,293982,1
1776724594.734687000,0x0010,7112,0.067778000,52,1,280950
1776724594.737227000,0x0010,7112,0.068567000,52,1,282398
1776724594.737251000,0x0010,47816,,1500,295430,1
1776724594.737257000,0x0018,47816,,1500,296878,1
1776724594.741640000,0x0010,7112,0.069990000,52,1,283846
1776724594.742293000,0x0010,47816,,1500,298326,1
1776724594.744564000,0x0010,7112,0.068891000,52,1,285294
1776724594.745283000,0x0018,47816,,1500,299774,1
1776724594.747857000,0x0010,7112,0.069096000,52,1,286742
1776724594.748270000,0x0010,47816,,1500,301222,1
1776724594.784334000,0x0010,7112,0.069191000,52,1,288190
1776724594.784465000,0x0010,47816,,1500,302670,1
1776724594.790733000,0x0010,7112,0.067886000,52,1,289638
1776724594.790762000,0x0010,47816,,1500,304118,1
1776724594.793571000,0x0010,7112,0.067435000,52,1,291086
1776724594.793598000,0x0010,47816,,1500,305566,1
1776724594.793638000,0x0010,7112,0.067496000,52,1,292534
1776724594.795269000,0x0010,47816,,1500,307014,1
